id,gender,age,marital_status,education,working_hours_per_week,income,ethnicity
1900073,Female,56,"marr,liv as mar",Secondary compl,NAV;NAP,$10000 or less,European/Pakeha
1900013,Male,45,divorced,University degree,50,$40001-$50000,European/Pakeha
1900025,Female,38,"marr,liv as mar","Incpl university,other",NAV;NAP,$15001-$20000,European/Pakeha
1900037,Female,33,"single,nev marr","Incpl university,other",NAV;NAP,$10001-$15000,European/Pakeha
1900043,Female,37,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900061,Male,27,"single,nev marr","Incpl university,other",35,$20001-$25000,European/Pakeha
1900079,Female,43,"single,nev marr","Incpl university,other",55,$40001-$50000,European/Pakeha
1900085,Male,24,"marr,liv as mar","Incpl university,other",NAV;NAP,$20001-$25000,European/Pakeha
1900097,"NA, refused",NA,"NA, refused",NA,NAV;NAP,NAV; NAP No own income,NAV
1900115,Male,22,"single,nev marr","Incpl university,other",40,$20001-$25000,European/Pakeha
1900121,Female,64,"marr,liv as mar",Incpl secondary,NAV;NAP,$10001-$15000,European/Pakeha
1900127,Female,62,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900139,Female,76,"marr,liv as mar",University degree,NAV;NAP,NAV; NAP No own income,Other
1900145,Female,68,"marr,liv as mar","Incpl university,other",NAV;NAP,$15001-$20000,European/Pakeha
1900151,Female,63,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900157,Male,58,"marr,liv as mar","Incpl university,other",45,$30001-$40000,European/Pakeha
1900163,Female,23,"marr,liv as mar",Incpl secondary,56,$25001-$30000,European/Pakeha
1900175,Female,44,"marr,liv as mar",Secondary compl,37,$20001-$25000,European/Pakeha
1900181,Male,23,"single,nev marr",Secondary compl,NAV;NAP,NAV; NAP No own income,European/Pakeha
1900187,Female,41,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900199,Female,29,"marr,liv as mar",Incpl secondary,37,$30001-$40000,European/Pakeha
1900205,Male,62,"marr,liv as mar","Incpl university,other",60,NAV; NAP No own income,European/Pakeha
1900211,Female,33,separated,Secondary compl,NAV;NAP,$10001-$15000,European/Pakeha
1900217,Female,61,"marr,liv as mar",Primary compl,NAV;NAP,$10000 or less,European/Pakeha
1900223,Female,32,"single,nev marr",Incpl secondary,NAV;NAP,$25001-$30000,European/Pakeha
1900235,Female,31,"marr,liv as mar",University degree,40,$40001-$50000,European/Pakeha
1900241,Female,29,"marr,liv as mar",Incpl secondary,NAV;NAP,NAV; NAP No own income,European/Pakeha
1900259,Female,35,"marr,liv as mar","Incpl university,other",20,$10000 or less,European/Pakeha
1900265,Male,83,"single,nev marr",University degree,NAV;NAP,$25001-$30000,European/Pakeha
1900277,Male,50,"marr,liv as mar",Incpl secondary,55,$20001-$25000,European/Pakeha
1900283,"NA, refused",NA,"NA, refused",NA,40,$25001-$30000,European/Pakeha
1900295,Male,48,"marr,liv as mar","Incpl university,other",60,$40001-$50000,European/Pakeha
1900307,Female,69,widowed,Primary compl,NAV;NAP,$10001-$15000,European/Pakeha
1900313,Female,NA,"marr,liv as mar","Incpl university,other",22,$15001-$20000,European/Pakeha
1900319,Male,46,"marr,liv as mar","Incpl university,other",45,$70001-$100000,European/Pakeha
1900325,Female,46,"marr,liv as mar",Secondary compl,60,$10000 or less,European/Pakeha
1900331,Male,44,"marr,liv as mar",University degree,60,NAV; NAP No own income,Chinese
1900337,Female,36,"marr,liv as mar",Secondary compl,16,$10000 or less,European/Pakeha
1900343,Male,32,"marr,liv as mar","Incpl university,other",NAV;NAP,$25001-$30000,Other
1900349,Female,90,"marr,liv as mar",Incpl secondary,NAV;NAP,$10001-$15000,European/Pakeha
1900355,Female,54,widowed,Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900367,Female,56,"marr,liv as mar",Incpl secondary,40,$15001-$20000,European/Pakeha
1900373,Female,50,"marr,liv as mar","Incpl university,other",35,$20001-$25000,European/Pakeha
1900379,Male,74,"marr,liv as mar",Primary compl,NAV;NAP,$25001-$30000,European/Pakeha
1900385,Male,42,"marr,liv as mar",Incpl secondary,50,$70001-$100000,European/Pakeha
1900409,Female,31,"marr,liv as mar","Incpl university,other",NAV;NAP,$20001-$25000,Other
1900415,Female,51,"marr,liv as mar","Incpl university,other",16,$10000 or less,European/Pakeha
1900421,Male,35,"marr,liv as mar",University degree,40,$40001-$50000,European/Pakeha
1900433,"NA, refused",NA,"NA, refused",NA,NAV;NAP,$10000 or less,European/Pakeha
1900451,Male,52,"single,nev marr",Primary compl,80,$10000 or less,European/Pakeha
1900457,Female,75,widowed,Secondary compl,NAV;NAP,$15001-$20000,European/Pakeha
1900463,Male,74,"marr,liv as mar",Secondary compl,NAV;NAP,$15001-$20000,European/Pakeha
1900469,Female,62,widowed,"Incpl university,other",10,$30001-$40000,European/Pakeha
1900475,Male,42,"marr,liv as mar","Incpl university,other",45,$30001-$40000,Other
1900481,Male,48,"marr,liv as mar",Incpl secondary,60,$30001-$40000,European/Pakeha
1900487,Female,63,"marr,liv as mar",Incpl secondary,NAV;NAP,$10001-$15000,European/Pakeha
1900493,Female,51,"marr,liv as mar",Incpl secondary,NAV;NAP,$30001-$40000,European/Pakeha
1900505,Male,35,"marr,liv as mar",University degree,45,$50001-$70000,European/Pakeha
1900511,Female,23,"marr,liv as mar",Secondary compl,40,$20001-$25000,Other
1900523,Male,72,"marr,liv as mar",NA,7,$10001-$15000,European/Pakeha
1900529,Female,54,"marr,liv as mar","Incpl university,other",40,$30001-$40000,European/Pakeha
1900547,Male,42,"marr,liv as mar",Secondary compl,65,$25001-$30000,European/Pakeha
1900553,Female,56,"marr,liv as mar",Incpl secondary,NAV;NAP,$25001-$30000,European/Pakeha
1900559,Female,66,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900565,Female,62,"marr,liv as mar",Secondary compl,20,$10000 or less,European/Pakeha
1900577,Female,49,"marr,liv as mar",Secondary compl,30,$10001-$15000,European/Pakeha
1900583,Female,48,"marr,liv as mar","Incpl university,other",50,$40001-$50000,European/Pakeha
1900589,Male,37,"marr,liv as mar",Incpl secondary,70,$30001-$40000,European/Pakeha
1900601,Male,53,"marr,liv as mar",Incpl secondary,48,$50001-$70000,European/Pakeha
1900607,Female,35,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900613,Male,41,"marr,liv as mar","Incpl university,other",40,$70001-$100000,European/Pakeha
1900614,"NA, refused",NA,"NA, refused",NA,50,$70001-$100000,European/Pakeha
1900619,Female,43,"marr,liv as mar",Incpl secondary,NAV;NAP,$10000 or less,European/Pakeha
1900631,Female,28,"marr,liv as mar",University degree,30,$20001-$25000,European/Pakeha
