"id","q1a","q1b","q1c","q1d","q1e"
1129,1,1,2,2,2
1134,1,1,3,2,4
1139,1,1,2,2,4
1142,1,1,2,1,1
1150,1,1,3,2,4
1152,1,2,2,2,3
1153,1,1,2,2,3
1160,1,1,3,3,2
1164,1,1,2,3,3
1171,1,1,2,4,4
1193,1,1,2,2,2
1202,1,1,3,2,2
1203,1,1,2,2,1
1208,1,1,4,4,2
1209,1,1,2,2,2
1212,1,1,2,2,2
1216,1,1,3,3,2
1217,2,1,2,2,4
1221,1,1,1,3,3
1222,1,1,2,3,4
1229,1,1,1,2,1
1231,1,1,2,3,3
1234,2,1,2,2,2
1235,1,1,4,2,4
1239,1,1,2,2,3
1243,1,1,3,2,3
1252,1,1,4,1,3
1253,1,1,2,2,2
1254,1,1,2,2,2
1261,1,1,1,2,3
1265,1,1,2,2,3
1270,1,1,2,1,3
1272,1,1,3,3,2
1279,1,1,3,4,3
1283,1,1,2,2,4
1285,1,1,2,1,2
1286,1,1,2,3,3
1294,1,1,2,3,3
1299,1,1,3,3,3
1303,1,1,2,2,2
1309,1,1,3,1,4
1311,1,1,2,2,3
1317,1,1,3,3,3
1318,3,2,3,2,3
1319,1,1,3,2,4
1322,1,1,2,2,3
1328,1,1,3,2,2
1330,1,1,2,4,3
1337,1,1,2,3,3
1339,1,1,2,2,3
1343,1,1,2,2,3
1345,2,2,2,2,2
1347,1,1,1,2,3
1350,1,1,1,2,3
1351,1,1,2,2,3
1352,2,1,1,1,1
1353,1,1,1,1,3
1355,1,1,2,3,4
1357,1,1,2,3,3
1361,1,1,1,2,2
1364,1,1,1,2,3
1371,1,1,3,2,4
1374,1,1,1,2,2
1379,1,1,2,2,3
1394,1,1,3,1,3
1398,1,1,4,2,4
1402,1,1,3,2,2
1403,1,1,2,2,4
1404,1,2,1,2,3
1408,1,1,2,4,4
1411,1,1,2,2,3
1422,2,1,3,3,4
1424,2,1,3,2,3
1425,1,1,1,1,3
1430,1,1,3,2,3
1434,1,1,3,3,3
1441,1,2,1,2,3
1454,1,1,2,3,2
1455,2,1,1,1,4
1457,1,1,3,3,4
1463,1,1,1,2,4
1465,1,1,1,2,3
1466,1,1,2,3,3
1475,1,1,2,3,4
1479,1,1,2,1,1
1480,1,3,3,2,2
1481,1,1,3,3,3
1487,1,2,1,1,1
1489,1,1,2,2,3
1492,1,1,2,2,2
1494,1,1,1,2,4
1501,1,2,2,3,4
1505,1,2,2,3,2
1515,1,1,3,1,1
1519,1,1,2,2,2
1520,1,2,3,3,4
1527,1,1,2,2,3
1528,1,1,3,2,3
1530,1,2,2,3,3
1542,1,2,2,1,4
1543,1,1,1,2,3
1547,1,2,3,2,4
1551,1,1,2,3,3
1555,1,1,3,2,4
1556,1,1,3,2,3
1557,2,1,2,2,4
1558,1,1,3,3,3
1561,1,1,1,2,4
1564,1,1,2,3,2
1566,1,1,2,2,3
1569,1,1,2,2,1
1572,1,1,2,2,4
1576,1,1,3,1,3
1577,1,1,1,3,3
1578,2,2,2,3,4
1592,1,1,3,3,3
1593,1,1,3,3,3
1595,2,1,2,3,3
1600,1,1,3,1,3
1603,1,1,2,1,1
1607,1,2,2,3,1
1609,1,1,2,1,3
1610,1,2,1,4,3
1611,2,2,2,2,3
1612,2,1,2,1,4
1618,1,1,2,3,2
1626,1,1,2,3,2
1627,1,1,1,1,2
1628,1,1,3,3,3
